Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional,season
2,Young Gun Cho,25,2,1,0.6666666666666666,8.01,25,3,3,0,0,0,39.1,51,39,35,7,24,0,31,1,0,3,197,1.907,11.7,1.6,5.5,7.1,1.29,player.fcgi?id=jo----000you,2024
3,Enmanuel De Jesus,27,13,11,0.5416666666666666,3.68,30,30,0,0,0,0,171.1,171,78,70,22,44,1,178,14,1,6,728,1.255,9,1.2,2.3,9.4,4.05,player.fcgi?id=dejesu001enm,2024
4,Yeong Min Ha,29,9,8,0.5294117647058824,4.37,28,28,0,0,0,0,150.1,168,82,73,8,58,0,101,5,0,7,671,1.503,10.1,0.5,3.5,6,1.74,player.fcgi?id=ha----000yeo,2024
5,Chan Heon Jeong,34,0,2,0,7.88,4,4,0,0,0,0,16,26,14,14,3,3,0,5,1,0,0,74,1.813,14.6,1.7,1.7,2.8,1.67,player.fcgi?id=jeong-000cha,2024
6,Jun Pyo Jhun,19,2,4,0.3333333333333333,6.83,18,5,4,0,0,0,27.2,35,28,21,4,20,0,18,5,0,4,144,1.988,11.4,1.3,6.5,5.9,0.9,player.fcgi?id=jhun--000jun,2024
7,Seung Woo Ju,24,4,6,0.4,4.35,55,0,35,0,0,14,51.2,50,25,25,4,18,5,43,5,0,1,225,1.316,8.7,0.7,3.1,7.5,2.39,player.fcgi?id=ju----000seu,2024
8,Ariel Jurado,28,10,8,0.5555555555555556,3.36,30,30,0,0,0,0,190.1,185,78,71,19,32,0,169,9,1,3,779,1.14,8.7,0.9,1.5,8,5.28,player.fcgi?id=jurado000ari,2024
9,Dong Hyeok Kim,22,0,2,0,6.85,17,0,8,0,0,0,22.1,27,21,17,7,10,0,9,2,0,0,102,1.657,10.9,2.8,4,3.6,0.9,player.fcgi?id=kim---022don,2024
10,Dong Kyu Kim,19,0,0,,54,2,0,1,0,0,0,0.1,1,2,2,0,2,0,0,0,0,0,4,9,27,0,54,0,0,player.fcgi?id=kim---029don,2024
11,Dong Uk Kim,27,2,1,0.6666666666666666,5,37,0,11,0,0,0,36,33,20,20,4,6,1,18,2,0,1,146,1.083,8.3,1,1.5,4.5,3,player.fcgi?id=kim---023don,2024
12,In-beom Kim,24,2,7,0.2222222222222222,5.4,19,14,4,0,0,0,63.1,75,40,38,9,31,0,27,8,1,3,297,1.674,10.7,1.3,4.4,3.8,0.87,player.fcgi?id=kim---007in-,2024
13,Jae Woong Kim,25,0,2,0,3.42,26,0,1,0,0,0,23.2,24,9,9,2,12,1,19,1,0,1,107,1.521,9.1,0.8,4.6,7.2,1.58,player.fcgi?id=kim---029jae,2024
14,Seon Gi Kim,32,6,4,0.6,5.54,42,6,4,0,0,0,76.1,91,51,47,13,30,1,43,6,0,6,357,1.585,10.7,1.5,3.5,5.1,1.43,player.fcgi?id=kim---001seo,2024
15,Seong Min Kim,30,3,4,0.4285714285714285,4.34,46,0,4,0,0,0,45.2,45,24,22,5,17,0,34,1,1,3,188,1.358,8.9,1,3.4,6.7,2,player.fcgi?id=kim---043seo,2024
16,Yeon Ju Kim,20,1,1,0.5,6.61,34,0,11,0,0,0,31.1,34,24,23,5,17,1,18,5,0,2,148,1.628,9.8,1.4,4.9,5.2,1.06,player.fcgi?id=kim---017yeo,2024
17,Yun Ha Kim,19,1,6,0.1428571428571428,6.04,19,12,0,0,0,0,79,93,57,53,6,35,0,43,4,1,3,363,1.62,10.6,0.7,4,4.9,1.23,player.fcgi?id=kim---004yun,2024
18,Jong Min Lee,23,1,8,0.1111111111111111,7.63,12,9,0,0,0,0,43.2,56,39,37,9,22,2,21,5,1,0,212,1.786,11.5,1.9,4.5,4.3,0.95,player.fcgi?id=lee---017jon,2024
19,Myeong Jong Lee,21,0,1,0,8.18,10,0,7,0,0,0,11,20,10,10,4,5,1,4,0,0,1,58,2.273,16.4,3.3,4.1,3.3,0.8,player.fcgi?id=lee---005mye,2024
20,Sung Hyun Moon,32,1,2,0.3333333333333333,6.57,42,0,12,0,0,3,38.1,54,28,28,3,25,0,31,2,0,2,189,2.061,12.7,0.7,5.9,7.3,1.24,player.fcgi?id=moon--001sun,2024
21,Seok Ju Oh,26,1,1,0.5,11.12,17,0,7,0,0,0,17,28,21,21,0,11,1,16,3,0,2,92,2.294,14.8,0,5.8,8.5,1.45,player.fcgi?id=ok----000seo,2024
22,Beom Jun Park,20,0,1,0,13.5,5,0,3,0,0,0,5.1,7,8,8,1,4,0,8,1,0,2,28,2.063,11.8,1.7,6.8,13.5,2,player.fcgi?id=park--000beo,2024
23,Seung Joo Park,30,0,1,0,6.75,15,0,6,0,0,0,17.1,16,13,13,2,9,0,13,1,0,3,74,1.442,8.3,1,4.7,6.8,1.44,player.fcgi?id=park--001seu,2024
24,Yun Sung Park,20,0,0,,5.79,17,0,7,0,0,0,18.2,14,12,12,5,9,0,14,0,0,2,81,1.232,6.8,2.4,4.3,6.8,1.56,player.fcgi?id=park--001yun,2024
25,Hyeon Gi Son,18,0,1,0,7.53,6,2,2,0,0,0,14.1,17,14,12,2,8,0,9,3,0,3,69,1.744,10.7,1.3,5,5.7,1.13,player.fcgi?id=son---002hye,2024
26,Jong-hyeon Won,36,0,0,,4.91,4,0,0,0,0,0,3.2,4,2,2,0,3,0,4,0,0,2,18,1.909,9.8,0,7.4,9.8,1.33,player.fcgi?id=won---000jon,2024
27,Gi-hyun Yang,25,0,2,0,6.27,21,0,2,0,0,0,18.2,16,13,13,1,13,0,7,2,0,0,83,1.554,7.7,0.5,6.3,3.4,0.54,player.fcgi?id=yang--000gi-,2024
28,Jeong-Hyeon Yoon,31,0,0,,9,2,0,2,0,0,0,3,4,3,3,0,2,0,1,0,0,0,15,2,12,0,6,3,0.5,player.fcgi?id=yoon--001jeo,2024
29,Seok Won Yun,20,0,1,0,11.42,11,1,3,0,0,0,17.1,31,24,22,3,7,0,1,2,1,3,88,2.192,16.1,1.6,3.6,0.5,0.14,player.fcgi?id=yun---006seo,2024
1,Raúl Alcántara,32,8,4,0.6666666666666666,3.27,19,19,0,0,0,0,121,125,50,44,11,10,0,92,4,0,3,492,1.116,9.3,0.8,0.7,6.8,9.2,player.fcgi?id=alcant001rau,2025
2,Young Gun Cho,26,5,5,0.5,5.68,51,6,16,0,0,8,77.2,84,51,49,12,38,0,47,4,0,5,353,1.571,9.7,1.4,4.4,5.4,1.24,player.fcgi?id=jo----000you,2025
3,Se Young Chung,18,0,1,0,16.88,4,1,1,0,0,0,2.2,9,6,5,0,4,0,2,0,0,1,22,4.875,30.4,0,13.5,6.8,0.5,player.fcgi?id=chung-000sey,2025
4,Cristopher Crisostomo,31,3,3,0.5,4.47,8,8,0,0,0,0,46.1,54,24,23,5,9,0,41,0,1,2,197,1.36,10.5,1,1.7,8,4.56,player.fcgi?id=crisos000chr,2025
5,Yeong Min Ha,30,7,14,0.3333333333333333,4.99,28,28,0,0,0,0,153.1,169,90,85,13,41,1,134,9,0,7,669,1.37,9.9,0.8,2.4,7.9,3.27,player.fcgi?id=ha----000yeo,2025
6,Jun Pyo Jhun,20,2,2,0.5,8.85,21,1,4,0,0,0,20.1,33,22,20,2,19,3,15,3,0,3,114,2.557,14.6,0.9,8.4,6.6,0.79,player.fcgi?id=jhun--000jun,2025
7,Seung Woo Ju,25,2,2,0.5,2.45,42,0,25,0,0,16,44,35,13,12,7,17,0,35,2,0,1,179,1.182,7.2,1.4,3.5,7.2,2.06,player.fcgi?id=ju----000seu,2025
8,Hyun Woo Jung,19,3,7,0.3,5.86,18,18,0,0,0,0,81.1,92,63,53,8,48,0,55,6,2,4,384,1.721,10.2,0.9,5.3,6.1,1.15,player.fcgi?id=jung--000hyu,2025
9,Dong Kyu Kim,20,0,0,,6.75,9,0,6,0,0,0,8,13,11,6,2,11,0,10,0,0,4,49,3,14.6,2.3,12.4,11.3,0.91,player.fcgi?id=kim---029don,2025
10,Seo Jun Kim,18,0,0,,20.25,4,0,2,0,0,0,5.1,14,12,12,2,5,0,4,0,0,1,34,3.563,23.6,3.4,8.4,6.8,0.8,player.fcgi?id=kim---052seo,2025
11,Seon Gi Kim,33,1,7,0.125,5.65,44,8,7,0,0,0,78,96,55,49,6,47,1,43,11,0,2,381,1.833,11.1,0.7,5.4,5,0.91,player.fcgi?id=kim---001seo,2025
12,Seong Min Kim,31,0,3,0,4.68,29,0,5,0,0,0,25,25,15,13,1,13,1,18,5,0,0,113,1.52,9,0.4,4.7,6.5,1.38,player.fcgi?id=kim---043seo,2025
13,Yeon Ju Kim,21,1,3,0.25,6.62,20,8,1,0,0,0,51.2,67,40,38,10,25,2,28,6,0,0,250,1.781,11.7,1.7,4.4,4.9,1.12,player.fcgi?id=kim---017yeo,2025
14,Yun Ha Kim,20,0,12,0,6.14,19,18,0,0,0,0,88,113,76,60,16,44,1,52,3,0,2,422,1.784,11.6,1.6,4.5,5.3,1.18,player.fcgi?id=kim---004yun,2025
15,Jun Woo Lee,24,1,4,0.2,8.61,31,0,4,0,0,0,23,37,23,22,6,12,0,22,1,0,0,118,2.13,14.5,2.3,4.7,8.6,1.83,player.fcgi?id=lee---013jun,2025
16,Kang Jun Lee,23,0,3,0,6.57,29,0,3,0,0,0,24.2,29,22,18,3,17,0,26,2,0,2,119,1.865,10.6,1.1,6.2,9.5,1.53,player.fcgi?id=lee---000kan,2025
