Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional,season
28,Woo Hyun Song,24,69,282,250,34,74,17,2,3,42,1,1,28,49,0.296,0.37,0.416,0.786,104,4,2,1,1,1,player.fcgi?id=song--001woo,2021
29,Jin Won Ye,22,52,132,114,16,18,6,1,1,8,0,1,12,28,0.158,0.248,0.254,0.502,29,2,2,3,1,0,player.fcgi?id=ye----000jin,2021
1,Ji Yeol Im,26,40,148,131,16,36,6,0,1,15,1,0,10,43,0.275,0.331,0.344,0.675,45,2,2,3,2,0,player.fcgi?id=lim---001ji-,2022
2,Byung-woo Jeon,29,115,231,197,14,40,7,0,5,21,0,0,17,68,0.203,0.288,0.315,0.603,62,5,7,9,1,0,player.fcgi?id=jeon--000byu,2022
3,Min Kook Kang,30,3,4,3,0,0,0,0,0,1,0,0,1,1,0,0.25,0,0.25,0,0,0,0,0,0,player.fcgi?id=kang--004min,2022
4,Hyeseong Kim,23,129,566,516,81,164,18,7,4,48,34,7,47,83,0.318,0.373,0.403,0.776,208,9,0,0,3,3,player.fcgi?id=kim---016hye,2022
5,Jae Hyun Kim,29,56,88,82,4,17,4,0,1,9,0,0,2,19,0.207,0.233,0.293,0.525,24,3,1,2,1,0,player.fcgi?id=kim---019jae,2022
6,Joo-hyung Kim,26,55,130,110,16,22,7,1,1,5,1,0,4,29,0.2,0.305,0.309,0.614,34,4,13,2,1,0,player.fcgi?id=kim---005joo,2022
7,Jun Wan Kim,31,111,398,317,43,61,10,2,1,28,1,1,64,71,0.192,0.339,0.246,0.585,78,4,8,6,3,0,player.fcgi?id=kim---006jun,2022
8,Si Ang Kim,20,13,14,12,1,1,0,0,0,0,0,0,1,8,0.083,0.154,0.083,0.237,1,1,0,1,0,0,player.fcgi?id=kim---001sia,2022
9,Su Hwan Kim,24,57,168,140,18,25,6,0,4,14,0,0,21,56,0.179,0.297,0.307,0.604,43,0,3,3,1,0,player.fcgi?id=kim---000suh,2022
10,Whee Jip Kim,20,112,393,333,40,74,12,1,8,36,0,0,39,115,0.222,0.326,0.336,0.662,112,6,14,3,4,0,player.fcgi?id=kim---000whe,2022
